Number of Blunders,,White Rating,,,,,,,
9000,,1209,,,,,,,9
1000,,2133,,,,,,,1
0,,2095,,,,,,,0
2000,,2114,,,,,,,2
0,,2111,,,,,,,0
0,,2105,,,,,,,0
0,,2118,,,,,,,0
1000,,2129,,,,,,,1
0,,2121,,,,,,,0
0,,2116,,,,,,,0
1000,,2101,,,,,,,1
0,,2217,,,,,,,0
0,,1738,,,,,,,0
2000,,1734,,,,,,,2
0,,1500,,,,,,,0
5000,,1762,,,,,,,5
0,,1316,,,,,,,0
0,,1498,,,,,,,0
2000,,1443,,,,,,,2
4000,,1709,,,,,,,4
5000,,1696,,,,,,,5
0,,1934,,,,,,,0
1000,,1635,,,,,,,1
0,,1934,,,,,,,0
1000,,1738,,,,,,,1
0,,1484,,,,,,,0
1000,,2264,,,,,,,1
5000,,1979,,,,,,,5
0,,2002,,,,,,,0
1000,,2019,,,,,,,1
1000,,2070,,,,,,,1
1000,,2030,,,,,,,1
0,,1324,,,,,,,0
2000,,1714,,,,,,,2
3000,,1787,,,,,,,3
0,,1574,,,,,,,0
0,,1364,,,,,,,0
1000,,2123,,,,,,,1
0,,1895,,,,,,,0
1000,,1420,,,,,,,1
1000,,1760,,,,,,,1
2000,,1617,,,,,,,2
0,,1807,,,,,,,0
0,,1639,,,,,,,0
0,,1630,,,,,,,0
0,,1555,,,,,,,0
0,,1460,,,,,,,0
7000,,1477,,,,,,,7
2000,,1458,,,,,,,2
2000,,1500,,,,,,,2
3000,,1800,,,,,,,3
2000,,1429,,,,,,,2
1000,,1447,,,,,,,1
0,,1744,,,,,,,0
1000,,1728,,,,,,,1
2000,,1570,,,,,,,2
2000,,1719,,,,,,,2
4000,,1691,,,,,,,4
6000,,976,,,,,,,6
0,,1559,,,,,,,0
3000,,1960,,,,,,,3
1000,,1971,,,,,,,1
5000,,1944,,,,,,,5
2000,,1189,,,,,,,2
0,,2116,,,,,,,0
2000,,1508,,,,,,,2
0,,2362,,,,,,,0
0,,2361,,,,,,,0
1000,,1332,,,,,,,1
0,,2360,,,,,,,0
1000,,1592,,,,,,,1
0,,1753,,,,,,,0
0,,2357,,,,,,,0
0,,2354,,,,,,,0
3000,,1787,,,,,,,3
2000,,1956,,,,,,,2
4000,,1941,,,,,,,4
3000,,1841,,,,,,,3
4000,,1442,,,,,,,4
4000,,1495,,,,,,,4
6000,,1472,,,,,,,6
2000,,1557,,,,,,,2
2000,,1484,,,,,,,2
0,,1469,,,,,,,0
4000,,1649,,,,,,,4
1000,,1575,,,,,,,1
0,,2296,,,,,,,0
2000,,995,,,,,,,2
0,,1343,,,,,,,0
2000,,909,,,,,,,2
6000,,1302,,,,,,,6
2000,,1874,,,,,,,2
